0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,29.60,29.80,29.35,29.80,0.25,0.85,"1,759,528",,,,,
2025-05-28,29.50,29.80,29.35,29.55,0.10,0.34,"730,436",,,,,
2025-05-27,29.85,29.95,29.25,29.45,-0.35,-1.17,"363,646",,,,,
2025-05-26,29.85,29.90,29.40,29.80,0.05,0.17,"603,160",,,,,
2025-05-25,30.00,30.00,29.60,29.75,-0.25,-0.83,"282,647",,,,,
2025-05-22,30.15,30.20,30.00,30.00,-0.05,-0.17,"543,579",,,,,
2025-05-21,30.50,30.70,30.05,30.05,-0.40,-1.31,"301,631",,,,,
2025-05-20,30.60,30.70,30.30,30.45,-0.20,-0.65,"290,065",,,,,
2025-05-19,30.80,31.05,30.40,30.65,-0.15,-0.49,"355,457",,,,,
2025-05-18,30.90,31.15,30.60,30.80,-0.05,-0.16,"233,005",,,,,
2025-05-15,30.95,31.10,30.65,30.85,-0.15,-0.48,"341,888",,,,,
2025-05-14,31.00,31.25,30.90,31.00,0.05,0.16,"398,104",,,,,
2025-05-13,31.40,31.40,30.70,30.95,-0.25,-0.80,"435,231",,,,,
2025-05-12,30.70,31.45,30.70,31.20,0.60,1.96,"503,816",,,,,
2025-05-11,30.65,31.05,30.45,30.60,-0.05,-0.16,"229,247",,,,,
2025-05-08,31.45,31.45,30.65,30.65,-0.65,-2.08,"333,993",,,,,
2025-05-07,31.10,31.35,30.95,31.30,0.15,0.48,"267,292",,,,,
2025-05-06,31.20,31.35,31.05,31.15,-0.10,-0.32,"296,470",,,,,
2025-05-05,31.25,31.50,31.05,31.25,0.00,0.00,"377,761",,,,,
2025-05-04,31.75,31.80,31.25,31.25,-0.50,-1.57,"355,220",,,,,
2025-05-01,32.00,32.00,31.60,31.75,-0.20,-0.63,"265,196",,,,,
2025-04-30,32.15,32.75,31.80,31.95,-0.15,-0.47,"579,534",,,,,
2025-04-29,32.60,32.60,32.10,32.10,-0.40,-1.23,"375,965",,,,,
2025-04-28,33.15,33.15,32.45,32.50,-0.55,-1.66,"598,631",,,,,
2025-04-27,33.55,33.55,33.00,33.05,-0.90,-2.65,"452,104",,,,,
2025-04-24,33.10,33.95,33.05,33.95,0.75,2.26,"613,372",,,,,
2025-04-23,33.00,33.35,33.00,33.20,0.25,0.76,"255,429",,,,,
2025-04-22,33.10,33.30,32.70,32.95,-0.05,-0.15,"278,422",,,,,
2025-04-21,33.40,33.45,33.00,33.00,-0.35,-1.05,"158,698",,,,,
2025-04-20,33.55,33.75,33.35,33.35,0.00,0.00,"141,211",,,,,
2025-04-17,33.40,33.55,33.15,33.35,-0.10,-0.30,"241,455",,,,,
2025-04-16,33.65,33.70,33.15,33.45,-0.35,-1.04,"278,340",,,,,
2025-04-15,33.85,34.15,33.55,33.80,0.00,0.00,"562,734",,,,,
2025-04-14,34.15,34.35,33.75,33.80,-0.20,-0.59,"411,904",,,,,
2025-04-13,33.40,34.15,33.30,34.00,0.80,2.41,"442,708",,,,,
2025-04-10,33.00,33.20,32.40,33.20,1.30,4.08,"596,198",,,,,
2025-04-09,31.55,32.90,31.50,31.90,0.30,0.95,"926,752",,,,,
2025-04-08,31.40,32.05,31.35,31.60,0.45,1.44,"609,970",,,,,
2025-04-07,30.85,31.60,30.00,31.15,0.30,0.97,"892,829",,,,,
2025-04-06,32.00,32.45,30.85,30.85,-2.90,-8.59,"701,753",,,,,
2025-04-03,34.70,34.70,33.75,33.75,-0.95,-2.74,"411,728",,,,,
2025-03-27,34.00,34.70,33.90,34.70,0.75,2.21,"483,835",,,,,
2025-03-26,33.65,34.00,33.50,33.95,0.65,1.95,"570,031",,,,,
2025-03-25,33.30,33.85,33.30,33.30,0.00,0.00,"525,019",,,,,
2025-03-24,33.15,33.30,32.95,33.30,0.20,0.60,"368,820",,,,,
2025-03-23,32.95,33.25,32.70,33.10,0.20,0.61,"530,422",,,,,
2025-03-20,33.20,33.30,32.90,32.90,-0.15,-0.45,"1,000,192",,,,,
2025-03-19,33.45,33.65,33.00,33.05,-0.45,-1.34,"534,404",,,,,
2025-03-18,34.60,34.60,33.50,33.50,-0.95,-2.76,"499,776",,,,,
2025-03-17,34.25,34.75,34.20,34.45,0.20,0.58,"390,531",,,,,
2025-03-16,33.60,34.40,33.20,34.25,0.65,1.93,"532,421",,,,,
2025-03-13,33.75,33.90,33.50,33.60,-0.15,-0.44,"439,580",,,,,
2025-03-12,34.05,34.35,33.65,33.75,-0.55,-1.60,"436,371",,,,,
2025-03-11,34.30,34.35,33.75,34.30,-0.15,-0.44,"559,907",,,,,
2025-03-10,34.20,34.45,33.75,34.45,0.25,0.73,"540,086",,,,,
2025-03-09,33.95,34.20,33.90,34.20,0.30,0.88,"423,397",,,,,
2025-03-06,34.10,34.40,33.75,33.90,-0.15,-0.44,"591,071",,,,,
2025-03-05,33.65,34.50,33.60,34.05,0.45,1.34,"446,608",,,,,
2025-03-04,34.25,34.25,33.60,33.60,-0.65,-1.90,"749,607",,,,,
2025-03-03,34.45,34.70,33.80,34.25,-0.25,-0.72,"589,623",,,,,
2025-03-02,34.95,34.95,34.15,34.50,-0.45,-1.29,"547,552",,,,,
2025-02-27,35.25,35.30,34.85,34.95,-0.30,-0.85,"773,003",,,,,
2025-02-26,36.00,36.05,35.05,35.25,-1.55,-4.21,"1,079,727",,,,,
2025-02-25,37.00,37.00,36.40,36.80,-0.65,-1.74,"1,129,965",,,,,
2025-02-24,37.50,37.60,37.30,37.45,0.05,0.13,"682,818",,,,,
2025-02-20,37.00,37.40,36.95,37.40,0.45,1.22,"460,904",,,,,
2025-02-19,37.05,37.10,36.95,36.95,-0.10,-0.27,"366,300",,,,,
2025-02-18,37.00,37.15,36.90,37.05,0.00,0.00,"340,100",,,,,
2025-02-17,37.15,37.15,36.95,37.05,-0.10,-0.27,"351,704",,,,,
2025-02-16,37.20,37.25,37.05,37.15,0.05,0.13,"214,383",,,,,
2025-02-13,37.05,37.20,37.05,37.10,-0.05,-0.13,"166,823",,,,,
2025-02-12,37.10,37.20,37.00,37.15,-0.05,-0.13,"248,995",,,,,
2025-02-11,37.25,37.25,36.95,37.20,0.15,0.40,"384,451",,,,,
2025-02-10,37.35,37.35,37.05,37.05,-0.20,-0.54,"572,402",,,,,
2025-02-09,37.45,37.45,37.15,37.25,-0.10,-0.27,"339,348",,,,,
2025-02-06,37.35,37.40,37.20,37.35,0.05,0.13,"283,023",,,,,
2025-02-05,37.45,37.50,37.25,37.30,-0.20,-0.53,"263,992",,,,,
2025-02-04,37.15,37.50,37.05,37.50,0.35,0.94,"243,800",,,,,
2025-02-03,37.10,37.20,36.90,37.15,0.15,0.41,"387,604",,,,,
2025-02-02,37.50,37.65,37.00,37.00,-0.50,-1.33,"406,872",,,,,
2025-01-30,37.50,37.65,37.30,37.50,-0.15,-0.40,"515,091",,,,,
2025-01-29,37.60,37.80,37.45,37.65,0.15,0.40,"261,359",,,,,
2025-01-28,37.70,37.85,37.50,37.50,-0.20,-0.53,"460,076",,,,,
2025-01-27,37.95,38.05,37.65,37.70,-0.25,-0.66,"292,733",,,,,
2025-01-26,37.65,37.95,37.60,37.95,0.30,0.80,"301,589",,,,,
2025-01-23,37.45,37.70,37.35,37.65,0.20,0.53,"422,880",,,,,
2025-01-22,37.80,37.85,37.45,37.45,-0.35,-0.93,"581,055",,,,,
2025-01-21,37.90,37.90,37.60,37.80,-0.10,-0.26,"351,933",,,,,
2025-01-20,37.80,37.95,37.65,37.90,0.10,0.26,"351,242",,,,,
2025-01-19,37.50,37.90,37.50,37.80,0.30,0.80,"313,363",,,,,
2025-01-16,37.35,37.65,37.25,37.50,0.30,0.81,"446,667",,,,,
2025-01-15,37.55,37.75,37.20,37.20,-0.35,-0.93,"561,458",,,,,
2025-01-14,37.50,37.75,37.35,37.55,0.15,0.40,"456,324",,,,,
2025-01-13,37.60,38.15,37.40,37.40,0.10,0.27,"939,736",,,,,
2025-01-12,36.80,37.40,36.80,37.30,0.65,1.77,"520,260",,,,,
2025-01-09,36.80,36.90,36.55,36.65,-0.10,-0.27,"454,407",,,,,
2025-01-08,36.80,37.15,36.70,36.75,-0.05,-0.14,"533,306",,,,,
2025-01-07,36.85,36.95,36.70,36.80,-0.05,-0.14,"392,593",,,,,
2025-01-06,36.90,36.95,36.80,36.85,0.00,0.00,"404,534",,,,,
2025-01-05,37.15,37.15,36.80,36.85,-0.10,-0.27,"279,519",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2025-01-05,33.10,35.30,33.10,34.05,1.00,3.03,"408,137",,,,,
